"p"	"count"
"http://dbpedia.org/property/cinematography"	55968
"http://dbpedia.org/ontology/instrument"	55753
"http://dbpedia.org/ontology/division"	55241
"http://dbpedia.org/ontology/area"	55181
"http://dbpedia.org/property/rd3Seed"	55108
"http://dbpedia.org/property/elevationFt"	54970
"http://dbpedia.org/property/rd4Score"	54728
"http://dbpedia.org/property/siteCityst"	54270
"http://dbpedia.org/property/manageryears"	54227
"http://dbpedia.org/ontology/district"	54188
"http://dbpedia.org/property/width"	53985
"http://dbpedia.org/ontology/leaderTitle"	53530
"http://dbpedia.org/property/keyPeople"	53268
"http://dbpedia.org/property/league"	53119
"http://dbpedia.org/property/nationalgoals"	52925
"http://www.wikidata.org/entity/P721"	52132
"http://dbpedia.org/property/siteStadium"	51717
"http://dbpedia.org/ontology/number"	51596
"http://dbpedia.org/property/blankInfo"	51546
"http://dbpedia.org/property/managerclubs"	51443
"http://www.wikidata.org/entity/P569"	51176
"http://dbpedia.org/property/last"	50623
"http://dbpedia.org/property/term"	50612
"http://dbpedia.org/ontology/Person/weight"	50605
"http://www.wikidata.org/entity/P575"	50500
"http://www.wikidata.org/entity/P490"	50420
"http://www.wikidata.org/entity/P196"	50372
"http://dbpedia.org/ontology/Person/height"	49983
"http://dbpedia.org/property/area"	49836
"http://dbpedia.org/property/platforms"	49834
"http://www.wikidata.org/entity/P61"	49818
"http://dbpedia.org/property/children"	49677
"http://dbpedia.org/property/rank"	49567
"http://dbpedia.org/property/aux"	49560
"http://dbpedia.org/property/notes"	49439
"http://dbpedia.org/property/instrument"	49325
"http://dbpedia.org/property/editing"	48810
"http://dbpedia.org/property/next"	48791
"http://dbpedia.org/property/homepage"	48181
"http://dbpedia.org/property/founded"	47824
"http://dbpedia.org/property/foundation"	47722
"http://dbpedia.org/property/hbnum"	47681
"http://dbpedia.org/property/route"	46873
"http://dbpedia.org/property/map"	46813
"http://dbpedia.org/property/residence"	46808
"http://dbpedia.org/ontology/recordedIn"	46778
"http://www.wikidata.org/entity/P150"	46674
"http://dbpedia.org/ontology/conservationStatus"	46310
"http://dbpedia.org/ontology/birthName"	45775
"http://www.wikidata.org/entity/P65"	45774
"http://dbpedia.org/property/statusSystem"	45595
"http://dbpedia.org/property/mayor"	45471
"http://dbpedia.org/property/nickname"	45394
"http://dbpedia.org/property/youthyears"	45291
"http://dbpedia.org/property/s"	45250
"http://dbpedia.org/ontology/conservationStatusSystem"	45210
"http://dbpedia.org/property/genusAuthority"	45204
"http://dbpedia.org/ontology/distributor"	45079
"http://dbpedia.org/property/prodcode"	45032
"http://dbpedia.org/ontology/musicalBand"	45022
"http://dbpedia.org/ontology/musicalArtist"	45022
"http://dbpedia.org/property/l"	44676
"http://dbpedia.org/property/writtenby"	44326
"http://dbpedia.org/ontology/musicComposer"	44048
"http://dbpedia.org/property/industry"	44008
"http://dbpedia.org/property/w"	43892
"http://dbpedia.org/ontology/owner"	43889
"http://dbpedia.org/property/class"	43882
"http://dbpedia.org/property/areaKm"	43625
"http://dbpedia.org/property/imageWidth"	43553
"http://dbpedia.org/ontology/individualisedPnd"	43399
"http://dbpedia.org/ontology/computingPlatform"	43337
"http://dbpedia.org/property/governingBody"	43310
"http://dbpedia.org/property/logo"	42966
"http://dbpedia.org/ontology/alias"	42543
"http://dbpedia.org/ontology/residence"	42485
"http://dbpedia.org/ontology/managerClub"	42432
"http://dbpedia.org/property/subfamilia"	42367
"http://dbpedia.org/property/author"	42331
"http://www.wikidata.org/entity/P141"	42309
"http://dbpedia.org/property/teams"	42256
"http://dbpedia.org/property/pcupdate"	42148
"http://dbpedia.org/property/imageSkyline"	42086
"http://dbpedia.org/ontology/deathYear"	41913
"http://dbpedia.org/property/body"	41742
"http://dbpedia.org/ontology/status"	41568
"http://dbpedia.org/property/number"	41305
"http://dbpedia.org/ontology/state"	41031
"http://dbpedia.org/property/source"	40995
"http://dbpedia.org/property/commander"	40862
"http://dbpedia.org/ontology/PopulatedPlace/area"	40430
"http://dbpedia.org/property/shipArmament"	40313
"http://dbpedia.org/property/image"	40233
"http://dbpedia.org/property/products"	40035
"http://dbpedia.org/property/unrankedClassis"	39954
"http://dbpedia.org/property/canton"	39914
"http://dbpedia.org/property/populationDate"	39879
"http://dbpedia.org/property/blank1Name"	39716
"http://dbpedia.org/property/rightarm"	39654
"http://dbpedia.org/property/leftarm"	39591
"http://dbpedia.org/property/unrankedDivisio"	39590
"http://dbpedia.org/property/areaTotalSqMi"	39482
"http://dbpedia.org/property/added"	39479
"http://dbpedia.org/ontology/nrhpReferenceNumber"	39433
"http://dbpedia.org/property/thisSingle"	39206
"http://dbpedia.org/property/record"	39120
"http://xmlns.com/foaf/0.1/nick"	39072
"http://dbpedia.org/property/headquarters"	39002
"http://dbpedia.org/ontology/added"	38867
"http://dbpedia.org/property/religion"	38845
"http://www.wikidata.org/entity/P570"	38672
"http://dbpedia.org/property/areaLandKm"	38630
"http://dbpedia.org/property/county"	38450
"http://dbpedia.org/property/socks"	38420
"http://dbpedia.org/property/locmapin"	38413
"http://dbpedia.org/property/subdivisionRanks"	38375
"http://dbpedia.org/property/built"	38253
"http://dbpedia.org/property/clubnumber"	38114
"http://dbpedia.org/property/department"	37996
"http://dbpedia.org/property/nextSingle"	37940
"http://dbpedia.org/ontology/maximumElevation"	37885
"http://www.wikidata.org/entity/P649"	37872
"http://dbpedia.org/ontology/product"	37862
"http://dbpedia.org/property/areaLandSqMi"	37599
"http://dbpedia.org/property/areaWaterSqMi"	37395
"http://dbpedia.org/property/runs"	37326
"http://dbpedia.org/property/arrondissement"	37291
"http://dbpedia.org/property/series"	37221
"http://dbpedia.org/property/shorts"	37092
"http://dbpedia.org/property/insee"	37068
"http://dbpedia.org/property/longDirection"	37028
"http://dbpedia.org/property/latDirection"	37014
"http://dbpedia.org/property/manager"	36988
"http://dbpedia.org/ontology/minimumElevation"	36949
"http://dbpedia.org/property/developer"	36921
"http://dbpedia.org/ontology/industry"	36879
"http://dbpedia.org/property/description"	36873
"http://dbpedia.org/property/englishtitle"	36851
"http://dbpedia.org/ontology/inseeCode"	36783
"http://dbpedia.org/property/longDegrees"	36766
"http://dbpedia.org/property/latDegrees"	36765
"http://dbpedia.org/property/pushpinMapsize"	36718
"http://dbpedia.org/ontology/orderInOffice"	36698
"http://dbpedia.org/property/longMinutes"	36673
"http://dbpedia.org/property/latMinutes"	36670
"http://dbpedia.org/property/latSeconds"	36651
"http://dbpedia.org/property/longSeconds"	36649
"http://www.wikidata.org/entity/P374"	36639
"http://dbpedia.org/ontology/department"	36485
